TimeStamp,Close,High,Low,Open
1/25/2019 9:26:38.000000000 AM,2945915,2945915,2945717,2945717
1/25/2019 9:26:40.000000000 AM,2945837,2945875,2945837,2945875
1/25/2019 9:26:42.000000000 AM,2945890,2945890,2945847,2945847
1/25/2019 9:26:44.000000000 AM,2945902,2945985,2945902,2945985
1/25/2019 9:26:46.000000000 AM,2945897,2945902,2945897,2945902
1/25/2019 9:26:48.000000000 AM,2946132,2946142,2946132,2946142
1/25/2019 9:26:50.000000000 AM,2946132,2946132,2946132,2946132
1/25/2019 9:26:52.000000000 AM,2945525,2945615,2945525,2945615
1/25/2019 9:26:54.000000000 AM,2945522,2945525,2945522,2945525
1/25/2019 9:26:56.000000000 AM,2945522,2945522,2945522,2945522
1/25/2019 9:26:58.000000000 AM,2945520,2945520,2945512,2945512
1/25/2019 9:27:00.000000000 AM,2945825,2945825,2945520,2945520
1/25/2019 9:27:02.000000000 AM,2945860,2945860,2945860,2945860
1/25/2019 9:27:04.000000000 AM,2945860,2945860,2945860,2945860
1/25/2019 9:27:06.000000000 AM,2945867,2945867,2945860,2945860
1/25/2019 9:27:08.000000000 AM,2946077,2946077,2945822,2945822
1/25/2019 9:27:10.000000000 AM,2946015,2946077,2946015,2946077
1/25/2019 9:27:12.000000000 AM,2946012,2946012,2946012,2946012
1/25/2019 9:27:14.000000000 AM,2945957,2945957,2945855,2945855
1/25/2019 9:27:16.000000000 AM,2945617,2945832,2945617,2945832
1/25/2019 9:27:18.000000000 AM,2945477,2945560,2945477,2945560
1/25/2019 9:27:20.000000000 AM,2945402,2945405,2945402,2945405
1/25/2019 9:27:22.000000000 AM,2945460,2945460,2945402,2945402
1/25/2019 9:27:24.000000000 AM,2945487,2945487,2945460,2945460
1/25/2019 9:27:26.000000000 AM,2945800,2945800,2945760,2945760
1/25/2019 9:27:28.000000000 AM,2945682,2945845,2945682,2945845
1/25/2019 9:27:30.000000000 AM,2945645,2945652,2945645,2945652
1/25/2019 9:27:32.000000000 AM,2945470,2945645,2945470,2945645
1/25/2019 9:27:34.000000000 AM,2945470,2945470,2945470,2945470
